id,original_text,clean_text,sentiment,polarity,subjectivity,lang,place,place_coord_boundaries
1235070962283859968,I've just watched episode S02E07 of Altered Carbon! #alteredcarbon #tvtime https://t.co/9hZC2qBTmD,I 've watched episode S02E07 Altered Carbon alteredcarbon tvtime,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,vila kennedy,
1235070799804903424,Why Did 'Altered Carbon' Replace Joel Kinnaman With Anthony Mackie? https://t.co/Xg8gW1OpHN via @decider,Why Did 'Altered Carbon Replace Joel Kinnaman With Anthony Mackie via decider,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,"Austin, Tx",
1235070783849762816,I've just watched episode S02E02 of Altered Carbon! #alteredcarbon #tvtime https://t.co/fGdX2LqnmP,I 've watched episode S02E02 Altered Carbon alteredcarbon tvtime,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,Brasil,
1235070718032982016,Uau!! Este S02E08 foi incrÃ­vel!! Que sÃ©rie maravilhosa Altered Carbon!  #alteredcarbon  #tvtimeâ€¦ https://t.co/Dw9mFJWqzQ,Wow This was S02E08 level incr What rie wonderful Altered Carbon alteredcarbon tvtime,"Sentiment(polarity=0.55, subjectivity=1.0)",0.55,1.0,pt,Brasil,
1235070653650227202,I should get some food the  start Altered Carbon season 2,I get food start Altered Carbon season 2,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,"Nassau, Bahamas",
1235070575086731267,"@BeatrizCoax Ã‘ada malo, hermosa. TerminÃ© de ver altered carbon jeje :'v",BeatrizCoax ada bad beautiful Termin see altered coal hehe v,"Sentiment(polarity=0.07500000000000007, subjectivity=0.8333333333333333)",0.07500000000000007,0.8333333333333333,es,Una meseta de joyas fÃºnebres. ,
1235070248463634434,"Ufff, acabo de ver el episodio  S02E04 of Altered Carbon! #alteredcarbon  #tvtime https://t.co/uxNvd1AQeO https://t.co/LHTf2lZPIh",Phew just watched episode S02E04 Altered Carbon alteredcarbon tvtime,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,es,El Sur / AndalucÃ­a,
1235070147842301953,Need to get on that altered carbon,Need get altered carbon,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,"Refugio, TX",
1235070017688850432,Essa segunda temporada de Altered Carbon estÃ¡ impecÃ¡vel ðŸ˜­ ja quero a terceira e por favor nÃ£o demore 2 anos,This second season of Altered Carbon is already level impec want third and please n takes two years,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,pt,"JoÃ£o Pessoa, Brasil",
1235069930292183040,Watching #AlteredCarbon2 on @netflix while checking out the end of the https://t.co/jkkLOOllM1 Kickstarter.,Watching AlteredCarbon2 netflix checking end Kickstarter,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,"DuPont, WA",
1235069654390824961,"-Esto es demasiado bueno para ser verdad. QuizÃ¡ estoy enloqueciendo.
-Â¿QuÃ© es mejor? Â¿Estar cuerdo o ser feliz?

Altered carbon",This is too good to be true I'm going crazy Quiz What is better to be sane happy to be Altered Carbon,"Sentiment(polarity=0.35, subjectivity=0.73)",0.35,0.73,es,"iPhone: 25.637117,-100.308075",
1235069623009046528,"ang ganda ng altered carbon, wala akong makwentuhan ng feelings ko ðŸ¥º",The beauty of altered carbon makwentuhan do not have the feelings I,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,tl,,
1235069507833487361,@Maruquineos13 Vou tentar assistir um episÃ³dio de altered carbon eu sempre durmo assistindo,Maruquineos13 I'll try to watch an audio epis of altered carbon I always sleep watching,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,pt,,
1235069177116803073,The humanizing AI bits in altered carbon season 2 are cool,The humanizing AI bits altered carbon season 2 cool,"Sentiment(polarity=0.35, subjectivity=0.65)",0.35,0.65,en,The A,
1235069072913489921,Just started Altered Carbon 30 minutes ago. Iâ€™m in love,Just started Altered Carbon 30 minutes ago I love,"Sentiment(polarity=0.5, subjectivity=0.6)",0.5,0.6,en,,
1235068981486268416,I've just watched episode S01E06 of Altered Carbon! #alteredcarbon  #tvtime https://t.co/4hKsrkHd3s https://t.co/dM7GSOPPAD,I 've watched episode S01E06 Altered Carbon alteredcarbon tvtime,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,Belo Horizonte,
1235068920932913152,I've just watched episode S02E06 of Altered Carbon! #alteredcarbon  #tvtime https://t.co/WywzpvgXkt https://t.co/KCSagNO9Q8,I 've watched episode S02E06 Altered Carbon alteredcarbon tvtime,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,Paris,
1235068889404338178,@AldoTomis Â¿Has visto altered carbon? La han recomendado pero me dan ganas de primero leer el libro.,Have you seen altered coal AldoTomis have recommended but they want to first read the book,"Sentiment(polarity=0.25, subjectivity=0.3333333333333333)",0.25,0.3333333333333333,es,Temporary Autonomous Zone,
1235068846735675392,@comradevenustas the new season of Altered Carbon has a black wlw bounty hunter and she is rad as fuck,comradevenustas new season Altered Carbon black wlw bounty hunter rad fuck,"Sentiment(polarity=-0.14343434343434344, subjectivity=0.49595959595959593)",-0.14343434343434344,0.49595959595959593,en,"Lansing, MI",
1235068723494440961,Altered carbon season 2? https://t.co/I6FMwZFXPx,Altered carbon season 2,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,nyc-fl,
